Atlantic,deg,discharge (Sv/1deg lat).,,,,,,,,,,,
J,lat,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
180,89.5,,,,,,,,,,,,
179,88.5,,,,,,,,,,,,
178,87.5,,,,,,,,,,,,
177,86.5,,,,,,,,,,,,
176,85.5,,,,,,,,,,,,
175,84.5,,,,,,,,,,,,
174,83.5,,,,,,,,,,,,
173,82.5,,,,,,,,,,,,
172,81.5,,,,,,,,,,,,
171,80.5,,,,,,,,,,,,
170,79.5,,,,,,,,,,,,
169,78.5,,,,,,,,,,,,
168,77.5,,,,,,,,,,,,
167,76.5,,,,,,,,,,,,
166,75.5,,,,,,,,,,,,
165,74.5,,,,,,,,,,,,
164,73.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
163,72.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
162,71.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
161,70.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
160,69.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
159,68.5,5.57E-06,3.79E-06,4.20E-06,6.27E-06,3.10E-05,6.68E-05,5.43E-05,2.66E-05,2.27E-05,1.99E-05,1.04E-05,6.33E-06
158,67.5,6.20E-05,5.32E-05,4.92E-05,6.41E-05,5.64E-04,7.20E-04,3.68E-04,2.54E-04,2.43E-04,2.05E-04,1.15E-04,7.68E-05
157,66.5,5.90E-06,4.92E-06,5.13E-06,6.70E-06,5.83E-05,1.42E-04,1.01E-04,4.95E-05,4.05E-05,3.16E-05,1.34E-05,7.64E-06
156,65.5,7.94E-04,7.41E-04,7.18E-04,8.73E-04,3.12E-03,3.19E-03,2.45E-03,2.03E-03,1.76E-03,1.55E-03,1.21E-03,9.31E-04
155,64.5,1.11E-04,1.03E-04,1.02E-04,2.64E-04,3.84E-04,8.21E-04,9.63E-04,4.13E-04,3.89E-04,2.24E-04,1.77E-04,1.45E-04
154,63.5,2.49E-03,2.92E-03,2.84E-03,3.36E-03,3.88E-03,3.75E-03,3.19E-03,2.76E-03,2.54E-03,2.80E-03,2.83E-03,2.69E-03
153,62.5,2.14E-04,1.94E-04,1.78E-04,2.15E-04,5.88E-04,1.18E-03,1.17E-03,7.30E-04,5.93E-04,4.53E-04,3.23E-04,2.52E-04
152,61.5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
151,60.5,3.33E-03,3.25E-03,3.15E-03,3.13E-03,3.35E-03,3.54E-03,3.57E-03,3.50E-03,3.39E-03,3.30E-03,3.30E-03,3.34E-03
150,59.5,1.95E-03,1.77E-03,1.95E-03,4.42E-03,7.71E-03,9.26E-03,7.13E-03,5.49E-03,4.88E-03,4.38E-03,3.48E-03,2.48E-03
149,58.5,2.99E-03,2.13E-03,1.78E-03,1.70E-03,7.65E-03,2.42E-02,1.25E-02,9.28E-03,9.02E-03,9.30E-03,8.37E-03,4.69E-03
148,57.5,1.05E-02,1.10E-02,8.81E-03,6.15E-03,8.49E-03,1.23E-02,8.51E-03,8.25E-03,8.75E-03,9.80E-03,1.12E-02,1.17E-02
147,56.5,4.28E-03,3.70E-03,4.40E-03,6.99E-03,8.70E-03,8.74E-03,6.99E-03,6.81E-03,7.27E-03,7.86E-03,6.97E-03,5.40E-03
146,55.5,9.02E-04,7.21E-04,5.85E-04,6.51E-04,2.80E-03,3.21E-03,2.06E-03,1.54E-03,1.62E-03,2.03E-03,1.62E-03,1.13E-03
145,54.5,3.86E-03,3.93E-03,5.26E-03,4.09E-03,3.63E-03,3.27E-03,2.88E-03,2.94E-03,2.76E-03,3.10E-03,3.73E-03,3.95E-03
144,53.5,5.17E-03,5.41E-03,4.75E-03,3.49E-03,3.98E-03,3.26E-03,2.63E-03,2.55E-03,2.60E-03,3.05E-03,4.06E-03,4.54E-03
143,52.5,1.10E-02,9.39E-03,7.47E-03,7.43E-03,1.92E-02,1.59E-02,1.08E-02,9.37E-03,9.22E-03,1.06E-02,1.14E-02,1.14E-02
142,51.5,5.59E-03,4.13E-03,2.88E-03,4.37E-03,1.47E-02,1.03E-02,7.01E-03,5.43E-03,5.59E-03,7.05E-03,7.62E-03,6.56E-03
141,50.5,1.58E-03,1.35E-03,1.01E-03,1.62E-03,8.50E-03,9.52E-03,4.02E-03,3.11E-03,3.22E-03,3.80E-03,3.20E-03,2.35E-03
140,49.5,2.55E-03,2.34E-03,1.46E-03,1.99E-03,6.36E-03,7.69E-03,4.52E-03,3.71E-03,3.53E-03,3.70E-03,3.24E-03,2.72E-03
139,48.5,1.28E-02,1.30E-02,1.26E-02,1.41E-02,1.68E-02,1.64E-02,1.51E-02,1.47E-02,1.43E-02,1.44E-02,1.46E-02,1.37E-02
138,47.5,3.25E-03,3.29E-03,1.88E-03,2.29E-03,1.62E-03,1.10E-03,6.99E-04,5.08E-04,5.13E-04,8.57E-04,1.98E-03,2.66E-03
137,46.5,8.69E-04,7.81E-04,8.81E-04,3.11E-03,5.00E-03,2.58E-03,1.66E-03,1.24E-03,1.94E-03,1.67E-03,1.55E-03,1.12E-03
136,45.5,2.94E-03,2.83E-03,3.13E-03,8.90E-03,1.02E-02,4.94E-03,3.12E-03,2.40E-03,2.21E-03,3.06E-03,3.88E-03,3.46E-03
135,44.5,4.14E-03,4.29E-03,4.28E-03,4.59E-03,4.13E-03,2.69E-03,1.43E-03,9.57E-04,1.02E-03,1.52E-03,2.68E-03,4.00E-03
134,43.5,4.35E-05,4.01E-05,7.33E-05,1.91E-04,1.64E-04,6.09E-05,3.22E-05,2.80E-05,2.96E-05,4.71E-05,7.03E-05,5.71E-05
133,42.5,2.60E-03,3.20E-03,3.51E-03,3.85E-03,2.52E-03,1.42E-03,9.24E-04,7.63E-04,8.06E-04,1.16E-03,1.95E-03,2.62E-03
132,41.5,3.89E-03,4.22E-03,3.99E-03,3.70E-03,2.33E-03,1.22E-03,6.42E-04,5.28E-04,5.68E-04,8.46E-04,1.80E-03,2.95E-03
131,40.5,1.46E-03,1.64E-03,1.98E-03,1.85E-03,1.23E-03,7.30E-04,4.99E-04,3.97E-04,3.65E-04,4.98E-04,9.74E-04,1.28E-03
130,39.5,3.51E-03,4.04E-03,4.69E-03,4.06E-03,2.61E-03,1.56E-03,1.01E-03,7.81E-04,7.90E-04,1.15E-03,1.89E-03,3.30E-03
129,38.5,1.13E-03,1.37E-03,1.52E-03,1.13E-03,8.59E-04,5.18E-04,3.32E-04,3.67E-04,3.67E-04,4.73E-04,5.46E-04,8.62E-04
128,37.5,1.24E-03,1.40E-03,1.13E-03,6.80E-04,4.22E-04,2.85E-04,1.77E-04,2.15E-04,2.42E-04,3.10E-04,4.43E-04,8.78E-04
127,36.5,1.04E-03,1.06E-03,8.23E-04,6.21E-04,5.09E-04,3.69E-04,3.70E-04,4.15E-04,4.42E-04,4.18E-04,4.20E-04,5.70E-04
126,35.5,9.00E-05,1.11E-04,1.19E-04,8.60E-05,4.92E-05,4.09E-05,4.68E-05,5.11E-05,4.35E-05,3.95E-05,4.12E-05,5.75E-05
125,34.5,1.86E-03,2.00E-03,1.74E-03,1.32E-03,8.68E-04,6.10E-04,7.05E-04,7.73E-04,7.48E-04,7.67E-04,8.78E-04,1.28E-03
