1,deg,discharge (Sv/1deg lat).,Case = 921 River,,
J,lat,Atlantic,Pacific,Indian,GlobalOcn
180,89.5,0,0,0,0
179,88.5,0,0,0,0
178,87.5,0,0,0,0
177,86.5,0,0,0,0
176,85.5,0,0,0,0
175,84.5,0,0,0,0
174,83.5,0,0,0,0
173,82.5,0,0,0,0
172,81.5,0,0,0,0
171,80.5,0,0,0,0
170,79.5,0,0,0,0
169,78.5,0,0,0,0
168,77.5,0,0,0,0
167,76.5,0,0,0,0
166,75.5,0,0,0,0
165,74.5,0,0,0,0
164,73.5,0,0,0,0.00576
163,72.5,0,0,0,0.01946
162,71.5,0,0,0,0.00421
161,70.5,0,0,0,0.02171
160,69.5,0,0,0,0.00143
159,68.5,0.00002,0,0,0.01582
158,67.5,0.00023,0,0,0.01497
157,66.5,0.00004,0,0,0.01797
156,65.5,0.00162,0.00044,0,0.0039
155,64.5,0.00034,0.00082,0,0.00266
154,63.5,0.00285,0.00113,0,0.00509
153,62.5,0.00051,0.00809,0,0.01125
152,61.5,0,0.00508,0,0.00356
151,60.5,0.00335,0.0057,0,0.01058
150,59.5,0.00459,0.00496,0,0.00806
149,58.5,0.00899,0.00519,0,0.01507
148,57.5,0.00833,0.00017,0,0.01036
147,56.5,0.00723,0.00587,0,0.01639
146,55.5,0.00277,0.00004,0,0.0028
145,54.5,0.00383,0.00737,0,0.00899
144,53.5,0.0039,0.00048,0,0.00516
143,52.5,0.01064,0.00173,0,0.01759
142,51.5,0.00666,0.01269,0,0.01809
141,50.5,0.00362,0.0011,0,0.00362
140,49.5,0.00391,0.00392,0,0.00391
139,48.5,0.01436,0.00722,0,0.02135
138,47.5,0.00168,0.00034,0,0.00501
137,46.5,0.00188,0.00922,0,0.01263
136,45.5,0.00426,0.00307,0,0.01577
135,44.5,0.00298,0.00007,0,0.00333
134,43.5,0.00016,0.0012,0,0.00666
133,42.5,0.00212,0.00085,0,0.00378
132,41.5,0.00213,0.00185,0,0.00664
131,40.5,0.00109,0.00062,0,0.0028
130,39.5,0.00237,0.00097,0,0.0055
129,38.5,0.00088,0.00149,0,0.00203
128,37.5,0.00058,0.0089,0,0.00952
127,36.5,0.00056,0.0031,0,0.00425
126,35.5,0.00008,0.00304,0,0.00233
125,34.5,0.00108,0.0056,0,0.00788
124,33.5,0.00019,0.00063,0,0.00066
123,32.5,0.0009,0.03211,0,0.03836
122,31.5,0.00175,0.00058,0.00304,0.00599
121,30.5,0.02264,0.00004,0.00161,0.02494
120,29.5,0.00146,0.00125,0.00051,0.00225
119,28.5,0.00014,0.00103,0.00003,0.00099
118,27.5,0.00008,0.00013,0.00004,0.00037
117,26.5,0.00002,0.00017,0.00123,0.00002
116,25.5,0.00006,0.00048,0.00233,0.00135
115,24.5,0,0.00076,0.036,0.03946
114,23.5,0,0.001,0.00092,0.00153
113,22.5,0.00111,0.01536,0.00197,0.01667
112,21.5,0,0.00087,0.00306,0.00421
111,20.5,0.00094,0.00014,0.00602,0.01056
110,19.5,0.0006,0.00001,0.0004,0.00076
109,18.5,0.01085,0.00023,0.00189,0.01176
108,17.5,0.0014,0.00151,0.01609,0.02968
107,16.5,0.00161,0.00109,0.00583,0.00817
106,15.5,0,0.00131,0.00081,0.00137
