GPCP area-averaged annual means of 1979-2014 precipitation for the Atlantic, Pacific and Indian Oceans at basin scale.

Atlantic      Pacific   Indian
   92.948   125.430    92.874
   91.480   123.932    96.340
   93.722   126.048    96.852
   92.925   128.866   104.004
   90.491   128.989   104.853
   94.956   127.853   106.530
   92.732   129.268    98.598
   89.659   127.551    96.775
   91.697   131.515    96.329
   95.036   124.101   102.594
   89.965   124.653    99.865
   87.336   127.998    97.412
   87.294   124.999    94.448
   84.699   128.032   100.112
   92.247   126.340   102.614
   86.751   126.885    99.119
   95.275   123.381   103.224
   92.704   124.115   101.895
   88.812   131.745    92.988
   91.893   128.712   110.150
   92.078   123.504    95.811
   87.145   125.679   101.014
   83.958   129.813    97.369
   88.046   127.427   107.643
   88.127   128.133   108.438
   88.600   127.470   106.541
   93.098   127.346   107.602
   88.991   127.973   100.917
   88.628   125.053   109.917
   90.450   121.132   104.537
   85.807   129.180    98.637
   94.200   124.207   108.076
   87.796   122.113   101.978
   82.886   125.865   103.496
   84.822   127.195   104.927
   83.305   129.694   103.504
