"GPCP area-averaged anomalies from the annual mean 1979-2014 precipitation for the Atlantic, Pacific and Indian Oceans at basin scale."		
		
Atlantic	Pacific	Indian
3.21	-1.298	-8.737
1.742	-2.795	-5.27
3.984	-0.68	-4.759
3.188	2.139	2.394
0.753	2.262	3.242
5.219	1.125	4.92
2.994	2.541	-3.013
-0.079	0.823	-4.835
1.959	4.787	-5.282
5.299	-2.627	0.983
0.228	-2.075	-1.746
-2.402	1.27	-4.198
-2.444	-1.728	-7.163
-5.039	1.304	-1.498
2.509	-0.387	1.003
-2.987	0.157	-2.492
5.537	-3.347	1.614
2.966	-2.613	0.285
-0.926	5.017	-8.623
2.156	1.984	8.54
2.34	-3.223	-5.8
-2.593	-1.048	-0.597
-5.78	3.085	-4.242
-1.692	0.7	6.032
-1.611	1.406	6.827
-1.138	0.742	4.93
3.36	0.618	5.991
-0.747	1.245	-0.694
-1.11	-1.675	8.306
0.712	-5.595	2.926
-3.931	2.452	-2.974
4.462	-2.521	6.466
-1.942	-4.615	0.367
-6.851	-0.863	1.885
-4.916	0.467	3.316
-6.432	2.966	1.893
