1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0.596,0.698,-0.243,-0.278,2.687,-0.338,-0.557,-0.302,1.237,1.093,-1.165,0.234,0.312,1.749,0.701,0.34,1.198,-0.64,-0.485,2.481,-1.151,-1.195,-0.539,-0.049,1.185,0.31,0.302,-0.469,0.972,-1.009,-0.752,1.153,-1.677,-1.045,0.041,-0.312
0.354,0.611,-0.153,-0.138,2.903,-0.563,-0.605,-0.176,1.184,0.661,-1.323,0.524,0.32,1.87,1.005,0.194,0.974,-0.587,-0.602,2.774,-1.247,-1.252,-0.725,-0.21,0.933,0.333,0.804,-0.463,0.505,-1.408,-0.728,1.524,-1.563,-0.711,-0.173,-0.258
-0.021,0.685,0.453,0.102,3.024,0.126,-0.742,0.055,1.727,0.45,-1.052,0.918,0.409,1.987,0.994,0.168,0.883,-0.243,-0.244,2.728,-1.087,-1.151,-0.615,-0.196,0.828,-0.117,1.032,-0.584,0.074,-1.645,-0.726,1.385,-1.56,-0.432,-0.181,0.012
0.278,0.914,0.646,-0.013,2.835,0.3,-0.477,-0.152,1.867,0.304,-0.849,0.403,0.471,2.269,1.408,0.45,0.437,-0.495,0.537,2.632,-1.053,-0.548,-0.156,0.356,0.325,0.243,0.589,-0.689,-0.053,-0.964,-0.156,0.894,-1.478,0.052,0.002,0.193
0.374,0.95,0.14,0.432,2.537,0.106,-0.718,0.35,2.14,0.081,-0.44,0.638,0.747,2.148,1.994,0.557,0.523,-0.13,1.17,2.164,-0.66,0.16,0.221,0.843,0.088,0.518,0.801,-0.004,0.226,-0.352,0.366,0.62,-0.273,0.739,0.116,0.967
0.397,0.891,-0.03,0.965,2.201,-0.081,-0.098,0.313,1.954,-0.649,-0.239,0.491,1.118,1.762,1.556,0.808,0.489,0.053,2.339,1.239,-0.365,-0.04,0.032,0.948,0.089,0.283,0.519,0.592,-0.221,0.16,0.894,-0.269,-0.048,0.936,-0.181,0.997
0.372,0.759,-0.046,1.614,1.767,-0.086,-0.143,0.387,1.855,-1.12,-0.439,0.133,1.024,1.022,1.168,0.889,0.191,-0.197,2.826,0.346,-0.486,-0.169,0.292,0.684,0.165,0.527,0.508,0.669,-0.246,0.073,1.001,-1.073,-0.05,1.168,-0.373,0.923
0.636,0.328,-0.085,1.817,1.155,-0.159,-0.354,0.804,1.982,-1.319,-0.483,0.14,1.022,0.573,1.032,0.769,-0.164,-0.377,3.038,-0.36,-0.767,-0.141,0.366,0.949,0.267,0.665,0.329,0.76,-0.409,-0.24,0.991,-1.777,-0.44,0.581,-0.528,0.938
0.779,0.279,0.178,1.808,0.481,-0.101,-0.513,1.122,1.888,-1.499,-0.277,0.384,0.759,0.52,0.987,0.903,-0.413,-0.443,3.049,-0.587,-0.974,-0.219,-0.108,0.859,0.459,0.531,0.288,0.825,-1.092,-0.561,0.805,-1.954,-0.713,0.328,-0.095,0.602
0.666,0.209,0.108,2.019,0.034,0.009,-0.135,0.98,1.643,-1.315,-0.314,0.28,1.024,0.664,1.063,1.419,-0.471,-0.349,2.417,-0.795,-0.977,-0.372,-0.266,0.976,0.519,0.497,-0.149,0.934,-1.103,-0.72,1.038,-1.896,-0.939,0.139,0.135,0.411
0.737,0.238,-0.051,2.447,-0.171,-0.348,-0.053,0.867,1.252,-1.463,-0.061,0.378,1.203,0.603,0.826,1.28,-0.486,-0.155,2.527,-1.165,-1.072,-0.75,-0.176,1.063,0.528,0.795,-0.4,1.299,-1.165,-0.605,1.066,-1.588,-0.965,0.176,-0.08,0.712
1.016,0.118,-0.148,2.411,-0.172,-0.611,-0.289,1.181,1.253,-1.339,0.145,0.339,1.318,0.642,0.565,1.184,-0.553,-0.337,2.326,-1.01,-1.205,-0.582,0.005,1.114,0.319,0.647,-0.583,0.953,-1.164,-0.66,1.013,-1.574,-0.976,0.041,-0.3,0.578
