1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-1.38,-0.75,0.37,-0.89,1.59,1.66,-1.61,1.11,-1.15,1.02,1.17,1.04,0.86,-0.13,1.6,1.04,0.93,-0.12,-0.49,0.39,0.77,0.6,0.25,0.44,0.16,-0.29,1.52,1.27,0.22,0.89,-0.01,-1.11,-0.88,1.17,0.35,0.29
-0.67,0.05,0.92,1.15,-0.53,0.72,-0.49,-1,-0.73,0.76,2,1.41,1.04,1.07,0.5,0.46,1.14,-0.07,1.7,-0.11,0.29,1.7,0.45,1.1,0.62,-0.14,-0.06,-0.51,-0.47,0.73,0.06,-1.98,0.7,0.42,-0.45,1.34
0.78,-0.31,-1.19,1.15,0.95,-0.37,0.2,1.71,0.14,-0.17,1.85,1.46,-0.2,0.87,0.67,1.26,1.25,-0.24,1.46,0.87,0.23,0.77,-1.26,0.69,0.32,1.02,-1.83,-1.28,1.44,0.08,0.57,-0.88,0.61,1.27,-1.61,0.8
-1.71,1.29,0.36,0.1,-0.85,-0.28,0.32,-0.59,2,-1.17,0.28,2,0.29,1.86,0.97,1.14,-0.85,-0.17,-1.02,-0.68,-0.95,-0.03,0,1.18,-0.18,1.15,-0.3,1.24,0.17,-1.07,-0.2,-0.72,2.48,0.47,0.69,0.31
-1.03,-1.5,0.2,-0.53,-0.07,0.54,-0.49,0.85,0.98,0.63,1.38,-1.53,0.08,2.63,-0.78,-0.57,-1.49,-1.06,-0.28,-1.32,0.92,1.58,-0.02,-0.22,0.01,0.19,-1.25,-1.14,0.66,-1.73,1.68,-1.49,-0.06,-0.91,0.57,-0.92
1.6,-0.37,-0.45,-1.63,0.99,-0.42,-0.8,1.22,-1.82,0.88,-0.27,-0.02,-0.82,0.2,-0.59,1.52,0.13,0.56,-1.47,-2.72,1.12,-0.03,-0.2,0.38,-0.07,-0.89,-0.05,0.84,-1.31,-1.39,-1.21,-0.82,-1.28,-2.53,0.52,-0.97
0.83,-0.42,0.05,1.15,1.19,-0.07,1.22,0.12,0.52,-0.35,0.97,0.53,-0.49,0.16,-3.18,1.31,-0.22,0.67,0.34,-0.48,-0.9,-1.03,-0.25,0.62,0.13,1.13,-0.51,0.9,-0.58,-1.27,-2.15,-0.42,-1.51,-1.32,0.67,0.18
0.96,-2.24,0.39,0.26,1.61,1.15,-0.48,-1.09,-0.83,0.04,0.01,0.97,1.23,0.85,0.12,0.38,0.69,1.02,0.83,-0.02,0.39,-0.29,-0.07,0.38,-0.07,-0.48,0.37,-1.73,-0.14,-1.16,-0.19,-1.22,-1.35,-0.98,0.97,-1.68
1.01,0.66,-1.45,1.76,-1.12,0.17,-0.52,-1.12,-1.22,-0.99,2.05,1.06,0.48,-0.44,-0.57,-1.32,0.31,-0.86,0.61,-2,0.36,-0.21,-0.65,-0.7,0.01,0.38,0.63,-1.62,0.72,1.02,1.51,-0.79,0.54,-0.59,0.24,1.62
-0.3,-1.77,-1.35,-0.74,0.65,-0.07,0.9,1.55,0.14,-1.08,-0.03,0.23,-0.19,-1.76,-0.71,-0.97,0.19,-0.33,-1.7,-0.29,0.2,0.92,-0.24,-2.28,-1.26,-1.1,-0.98,-2.24,0.45,-0.04,-1.03,-0.93,0.39,-2.06,-1.28,-1.27
0.53,-0.37,-0.38,1.6,-0.98,-0.06,-0.67,2.29,0.18,-0.34,0.16,-0.24,0.48,1.19,2.56,0.64,-1.38,-0.56,-0.9,-0.28,0.65,-0.92,0.63,-0.18,0.86,0.73,-0.31,0.44,0.58,-0.32,-0.02,-1.62,1.36,-0.58,0.9,0.68
1,0.78,-0.02,1.78,0.29,0,0.22,0.99,0.32,0.61,-1.15,0.22,0.46,0.47,1.56,2.02,-1.67,-1.41,-0.96,0.87,1.61,-0.58,-0.83,-0.94,0.64,1.21,-0.44,1.34,0.34,-0.28,-1.93,-1.85,2.52,0.17,0.95,1.86
