Area-averaged annual mean (1979-2014) ERA-Interim moisture budget residuals(divQ-(E-P)) for each ocean basin.

Atlantic      Pacific   Indian
    0.096     0.410     0.153
    0.064     0.443     0.174
    0.089     0.355     0.184
    0.079     0.402     0.157
    0.109     0.441     0.168
    0.137     0.379     0.156
    0.133     0.338     0.102
    0.133     0.276     0.085
    0.149     0.240     0.073
    0.164     0.395     0.144
    0.134     0.359     0.112
    0.153     0.315     0.120
    0.137     0.411     0.128
    0.073     0.045    -0.007
    0.097     0.116     0.055
    0.084     0.074     0.027
    0.093     0.078     0.043
    0.042    -0.043    -0.019
    0.026    -0.102     0.023
    0.021    -0.328    -0.057
   -0.058    -0.127    -0.066
   -0.015    -0.001    -0.032
   -0.040    -0.078    -0.034
    0.016    -0.100    -0.025
   -0.013    -0.253    -0.052
    0.034    -0.241    -0.056
    0.049    -0.231    -0.092
    0.019    -0.123    -0.034
   -0.021    -0.065    -0.047
    0.059     0.071    -0.003
    0.072     0.122     0.023
    0.116     0.149     0.054
    0.141     0.320     0.095
    0.088     0.288     0.064
    0.152     0.190     0.040
    0.124     0.129     0.051
