,Atlantic Ocean,,,,,,,,,,,,Pacific Ocean,,,,,,,,,,,,Indian Ocean,,,,,,,
,35?S-60?N,,45?N-60?N,, 35?S-45?N,,24-45?N,,16?S-24?N,,32-16?S,,30?S-BS,,47?N-BS,,30?S-47?N,,24-47?N,,17S-24N,,30?S-17?N,, >32?S,,>8?S,,20-8?S,,32-20?S,
,A_bas,A_bas_err,A_4560,A_4560_err,A_3545,A_3545_err,A_nth,A_nth_err,A_mid,A_mid_err,A_sth,A_sth_err,P_bas,P_bas_err,P_47BS,P_47BS_err,P_3047,P_3047_err,P_nth,P_nth_err,P_mid,P_mid_err,P_sth,P_sth_err,I_bas,I_bas_err,I_nth,I_nth_err,I_mid,I_mid_err,I_sth,I_sth_err
BR75,,,,,0.543,,,,,,,,,,,,-0.887,,,,,,,,0.441,,,,,,,
W92,0.78,,-0.14,,0.91,,0.34,,0.19,,0.39,,-0.5,,-0.33,,0.17,,0.06,,,,,,0.64,,,,,,,
DT03,0.45,,-0.17,,0.63,,0.18,,0.19,,0.26,,-0.13,,-0.29,,0.16,,0.03,,-0.31,,0.44,,0.39,,-0.17,,0.18,,0.39,
GW03,,,,,0.46,0.32,0,0.15,0.1,0.2,0.36,0.2,,,,,0.06,0.44,-0.14,0.26,-0.1,0.3,0.3,0.2,0.58,0.44,-0.1,0.25,0.33,0.2,0.35,0.3
T08,0.81,0.38,0.21,0.31,0.59,0.25,0.03,0.19,0.1,0.15,0.46,0.06,-0.05,0.11,-0.11,0.03,0.06,0.11,-0.08,0.06,,,,,0.38,0.25,-0.36,0.16,0.43,0.16,0.31,0.1
S10,0.24,,-0.32,,0.56,,0.16,,0.17,,0.23,,0.15,,-0.31,,0.46,,-0.03,,0,,0.49,,0.61,,-0.02,,0.33,,0.28,
V14,0.33,0.04,-0.45,0.04,0.78,0.07,0.32,,0.09,,0.37,,0.09,0.04,-0.18,0.02,0.27,0.04,-0.1,,-0.08,,0.45,,0.65,0.07,,,,,0.45,
ERAI+DT02,0.46,0.08,-0.18,0.01,0.63,0.08,0.23,0.03,0.11,0.07,0.29,0.03,-0.07,0.24,-0.25,0.01,0.15,0.23,0.04,0.04,-0.37,0.2,0.48,0.06,0.52,0.09,-0.18,0.06,0.21,0.05,0.47,0.03
ECCO,0.39,0.06,-0.19,0.03,0.58,0.05,0.23,0.02,0.11,0.06,0.24,0.02,0.01,0.08,-0.19,0.01,0.2,0.08,0,0.03,-0.24,0.09,0.44,0.03,0.53,0.05,-0.15,0.04,0.25,0.03,0.43,0.02
